ticket_id,customer_id,created_at,category,description,sentiment
T-1415,C-406,2025-02-14,Performance,"Kinesis shard iterator expired",negative
T-1416,C-407,2025-02-15,Billing,"Budget forecast accuracy",neutral
T-1417,C-410,2025-02-16,Bug,"OpenID Connect redirect",negative
T-1418,C-408,2025-02-17,Support,"Cloud adoption framework",positive
T-1419,C-409,2025-02-18,Performance,"Event hub partition skew",negative
T-1420,C-412,2025-02-19,Feature_Request,"Deception technology",neutral
T-1421,C-411,2025-02-20,Bug,"WebSocket hijacking",negative
T-1422,C-413,2025-02-21,Support,"Landing zone architecture",positive
T-1423,C-414,2025-02-22,Performance,"Service bus queue deadletter",negative
T-1424,C-416,2025-02-23,Billing,"Showback report accuracy",neutral
T-1425,C-415,2025-02-24,Bug,"gRPC metadata injection",negative
T-1426,C-419,2025-02-25,Feature_Request,"Security information management",positive
T-1427,C-418,2025-02-26,Performance,"RabbitMQ queue overflow",negative
T-1428,C-420,2025-01-15,Support,"Tag governance policy",neutral
T-1429,C-421,2025-01-16,Bug,"Protobuf deserialization",negative
T-1430,C-424,2025-01-17,Feature_Request,"Continuous compliance monitoring",positive
T-1431,C-422,2025-01-18,Performance,"ActiveMQ broker memory",negative
T-1432,C-423,2025-01-19,Billing,"Chargeback accuracy",neutral
T-1433,C-426,2025-01-20,Bug,"MessagePack injection",negative
T-1434,C-427,2025-01-21,Support,"Cloud maturity assessment",positive
T-1435,C-428,2025-01-22,Performance,"NATS cluster split-brain",negative
T-1436,C-431,2025-01-23,Feature_Request,"Attack surface management",neutral
T-1437,C-429,2025-01-24,Bug,"Avro schema poisoning",negative
T-1438,C-430,2025-01-25,Support,"Reference architecture review",positive
T-1439,C-433,2025-01-26,Performance,"Pulsar broker disconnection",negative
T-1440,C-432,2025-01-27,Billing,"Cost optimization recommendations",neutral
T-1441,C-434,2025-01-28,Bug,"Thrift RCE vulnerability",negative
T-1442,C-435,2025-01-29,Feature_Request,"Vulnerability prioritization",positive
T-1443,C-438,2025-01-30,Performance,"ZeroMQ socket exhaustion",negative
T-1444,C-436,2025-01-31,Support,"Modernization roadmap",neutral
T-1445,C-437,2025-02-01,Bug,"Cap'n Proto buffer overflow",negative
T-1446,C-440,2025-02-02,Feature_Request,"Threat modeling automation",positive
T-1447,C-439,2025-02-03,Performance,"Redis cluster failover delay",negative
T-1448,C-441,2025-02-04,Billing,"ROI calculation methodology",neutral
T-1449,C-442,2025-02-05,Bug,"FlatBuffers memory corruption",negative
T-1450,C-445,2025-02-06,Support,"Architecture decision records",positive
T-1451,C-443,2025-02-07,Performance,"Memcached slab allocation",negative
T-1452,C-444,2025-02-08,Feature_Request,"Purple team exercises",neutral
T-1453,C-447,2025-02-09,Bug,"Bond serialization flaw",negative
T-1454,C-448,2025-02-10,Support,"Technical debt assessment",positive
T-1455,C-449,2025-02-11,Performance,"Hazelcast partition migration",negative
T-1456,C-452,2025-02-12,Billing,"Multi-year discount analysis",neutral
T-1457,C-450,2025-02-13,Bug,"CBOR parsing vulnerability",negative
T-1458,C-451,2025-02-14,Feature_Request,"Red team engagement",positive
T-1459,C-454,2025-02-15,Performance,"Coherence cluster member expulsion",negative
T-1460,C-455,2025-02-16,Support,"Migration factory setup",neutral
T-1461,C-456,2025-02-17,Bug,"BSON injection attack",negative
T-1462,C-459,2025-02-18,Feature_Request,"Security chaos engineering",positive
T-1463,C-457,2025-02-19,Performance,"Ignite cache rebalancing",negative
T-1464,C-458,2025-02-20,Billing,"Commitment utilization tracking",neutral
T-1465,C-461,2025-02-21,Bug,"YAML deserialization RCE",negative
T-1466,C-460,2025-02-22,Support,"Agile transformation coaching",positive
T-1467,C-462,2025-02-23,Performance,"GridGain node segmentation",negative
T-1468,C-463,2025-02-24,Feature_Request,"Bug bounty program setup",neutral
T-1469,C-466,2025-02-25,Bug,"TOML parsing exploit",negative
T-1470,C-464,2025-02-26,Support,"Value stream mapping",positive
T-1471,C-465,2025-01-10,Performance,"Terracotta quorum loss",negative
T-1472,C-468,2025-01-11,Billing,"Contract negotiation support",neutral
T-1473,C-469,2025-01-12,Bug,"INI file injection",negative
T-1474,C-470,2025-01-13,Feature_Request,"Adversary emulation",positive
T-1475,C-473,2025-01-14,Performance,"GemFire region overflow",negative
T-1476,C-471,2025-01-15,Support,"Organizational change management",neutral
T-1477,C-472,2025-01-16,Bug,"Properties file manipulation",negative
T-1478,C-475,2025-01-17,Feature_Request,"Assumed breach testing",positive
T-1479,C-476,2025-01-18,Performance,"Ehcache disk store corruption",negative
T-1480,C-477,2025-01-19,Billing,"Pricing model comparison",neutral
T-1481,C-480,2025-01-20,Bug,"Config file path traversal",negative
T-1482,C-478,2025-01-21,Support,"Digital transformation strategy",positive
T-1483,C-479,2025-01-22,Performance,"Caffeine cache eviction storm",negative
T-1484,C-482,2025-01-23,Feature_Request,"Breach attack simulation",neutral
T-1485,C-481,2025-01-24,Bug,"Environment variable injection",negative
T-1486,C-483,2025-01-25,Support,"Product management training",positive
T-1487,C-484,2025-01-26,Performance,"Guava cache memory leak",negative
T-1488,C-486,2025-01-27,Billing,"License true-up process",neutral
T-1489,C-485,2025-01-28,Bug,"Registry key manipulation",negative
T-1490,C-489,2025-01-29,Feature_Request,"Cyber range exercises",positive
T-1491,C-488,2025-01-30,Performance,"Spring cache annotation issue",negative
T-1492,C-490,2025-01-31,Support,"Capability building program",neutral
T-1493,C-491,2025-02-01,Bug,"Shared memory segment exploit",negative
T-1494,C-494,2025-02-02,Feature_Request,"Tabletop exercises",positive
T-1495,C-492,2025-02-03,Performance,"Hibernate second-level cache thrashing",negative
T-1496,C-493,2025-02-04,Billing,"Service credit application",neutral
T-1497,C-496,2025-02-05,Bug,"IPC message tampering",negative
T-1498,C-497,2025-02-06,Support,"DevOps maturity assessment",positive
T-1499,C-498,2025-02-07,Performance,"JPA query cache invalidation",negative
T-1500,C-500,2025-02-08,Feature_Request,"Crisis management simulation",neutral
