contract_id,customer_id,vendor_id,service_level_days,penalty_clause
CTR-478,C-272,V-285,7,6% credit if delivery >7 days
CTR-479,C-273,V-287,5,4% credit if delivery >5 days
CTR-480,C-274,V-288,7,6% credit if delivery >7 days
CTR-481,C-275,V-289,7,5% credit if delivery >7 days
CTR-482,C-276,V-290,7,6% credit if delivery >7 days
CTR-483,C-277,V-288,7,6% credit if delivery >7 days
CTR-484,C-277,V-281,21,26% credit if delivery >21 days
CTR-485,C-278,V-291,7,6% credit if delivery >7 days
CTR-486,C-279,V-290,7,6% credit if delivery >7 days
CTR-487,C-280,V-292,7,5% credit if delivery >7 days
CTR-488,C-281,V-293,7,6% credit if delivery >7 days
CTR-489,C-282,V-294,7,5% credit if delivery >7 days
CTR-490,C-283,V-295,7,7% credit if delivery >7 days
CTR-491,C-284,V-293,7,6% credit if delivery >7 days
CTR-492,C-285,V-296,14,12% credit if delivery >14 days
CTR-493,C-285,V-311,21,23% credit if delivery >21 days
CTR-494,C-285,V-331,21,28% credit if delivery >21 days
CTR-495,C-285,V-346,14,12% credit if delivery >14 days
CTR-496,C-285,V-361,21,26% credit if delivery >21 days
CTR-497,C-285,V-376,14,16% credit if delivery >14 days
CTR-498,C-285,V-381,27,32% credit if delivery >27 days + maximum penalties
CTR-499,C-286,V-295,7,7% credit if delivery >7 days
CTR-500,C-287,V-297,7,6% credit if delivery >7 days
